regulon	threshold	nCellsAssigned	AUCellComment	nGenes	clusteringOrder	clusterGroup	onlyNonDuplicatedExtended	personalNotes
Tef_extended (447g)	0.658	105		447	1	0	FALSE	
Tef (405g)	0.607	101		405	2	0	TRUE	
Dlx5_extended (214g)	0.768	0	The AUC might follow a normal distribution (random gene-set?). 	214	3	0	FALSE	
Dlx5 (35g)	0.0988	42		35	4	0	TRUE	
Sox9_extended (183g)	0.456	28	The AUC might follow a normal distribution (random gene-set?). 	183	5	0	FALSE	
Sox9 (150g)	0.396	28	The AUC might follow a normal distribution (random gene-set?). 	150	6	0	TRUE	
Sox8_extended (136g)	0.354	49		136	7	0	FALSE	
Sox8 (97g)	0.638	0	The AUC might follow a normal distribution (random gene-set?). 	97	8	0	TRUE	
Sox10_extended (114g)	0.37	51		114	9	0	FALSE	
Sox10 (88g)	0.31	49		88	10	0	TRUE	
Irf1_extended (109g)	0.209	14		109	11	0	FALSE	
Irf1 (105g)	0.209	14		105	12	0	TRUE	
Stat6_extended (75g)	0.0674	17		75	13	0	FALSE	
Stat6 (27g)	0.0384	21	77% (more than 0.75%) of AUC are zero. 	27	14	0	TRUE	
